times,theta
44.4,282.1301479
44.4,281.2477929
44.5,282.3020352
44.5,282.0384746
44.6,281.774914
44.6,282.4796521
44.7,281.5113534
44.7,282.1301479
44.8,281.6889704
44.8,282.4796521
44.9,282.3937084
44.9,282.3020352
44.9,281.4254098
45.0,282.2160915
45.0,281.0759055
45.1,282.9208296
45.1,282.3937084
45.2,281.5113534
45.2,281.6030267
45.3,281.9525309
45.3,282.4796521
45.4,282.3937084
45.4,282.7432127
45.5,281.6030267
45.5,281.774914
45.6,282.1301479
45.6,282.9208296
45.6,281.6889704
45.7,282.657269
45.7,281.5113534
45.8,282.0384746
45.8,282.2160915
45.9,282.2160915
45.9,281.5113534
46.0,282.834886
46.0,281.6889704
46.1,281.6889704
46.1,281.1618492
46.2,281.6889704
46.2,282.3937084
46.3,282.0384746
46.3,282.0384746
46.4,282.2160915
46.4,283.0067733
46.4,281.3394661
46.5,282.2160915
46.5,282.0384746
46.6,282.5655958
46.6,282.834886
46.7,281.5113534
46.7,282.1301479
46.8,282.2160915
46.8,282.3937084
46.9,282.0384746
46.9,281.6889704
47.0,282.4796521
47.0,282.0384746
47.1,281.774914
47.1,282.0384746
47.2,281.9525309
47.2,282.657269
47.2,282.3937084
47.3,281.774914
47.3,281.6030267
47.4,281.6889704
47.4,281.9525309
47.5,282.3020352
47.5,281.9525309
47.6,281.6889704
47.6,281.774914
47.7,282.7432127
47.7,282.0384746
47.8,282.2160915
47.8,282.3020352
47.8,282.4796521
47.9,282.0384746
48.0,281.8665873
48.0,282.0384746
48.0,282.2160915
48.1,281.1618492
48.1,282.3937084
48.2,282.834886
48.2,281.9525309
48.3,282.4796521
48.3,281.6030267
48.4,281.8665873
48.4,281.9525309
48.5,282.4796521
48.5,282.3020352
48.6,281.5113534
48.6,281.9525309
48.6,282.3937084
48.7,282.657269
48.7,282.4796521
48.8,281.6889704
48.8,281.6030267
48.9,282.657269
48.9,282.1301479
49.0,282.3937084
49.0,281.774914
49.1,282.2160915
49.1,281.774914
49.2,281.6030267
49.2,282.2160915
49.3,281.6889704
49.3,282.0384746
49.4,281.774914
49.4,282.0384746
49.4,282.3937084
49.5,281.4254098
49.5,282.0384746
49.6,282.7432127
49.6,281.6889704
49.7,282.3937084
49.7,281.5113534
49.8,283.4479508
49.8,282.3020352
49.9,282.0384746
49.9,281.6030267
50.0,283.8891283
50.0,283.0067733
50.0,282.7432127
50.1,281.2477929
50.1,281.6889704
50.2,276.5037023
50.2,275.6270769
50.3,272.0231724
50.3,270.0006313
50.4,268.064034
50.4,264.7294196
50.5,262.3516448
50.5,259.2748614
50.6,255.235509
50.6,249.9585677
50.7,245.392094
50.7,239.8515922
50.8,235.5486791
50.8,228.4268137
50.8,217.0020353
50.9,206.281995
50.9,194.8514869
51.0,180.8770463
51.0,168.3120819
51.1,156.268509
51.1,145.1932348
51.2,131.4823548
51.2,120.0575764
51.3,104.2382117
51.3,91.05445279
51.4,79.36611377
51.4,69.08152135
51.5,53.61166088
51.5,40.60551894
51.6,26.01801347
51.6,10.37053609
51.7,-0.349504255
51.7,-14.15205754
51.7,-27.3358164
51.8,-38.58297792
51.8,-45.26366581
51.9,-51.32555928
51.9,-56.86606116
52.0,-61.6101517
52.0,-66.00473799
52.1,-70.13576369
52.1,-74.79391057
52.2,-79.10255319
52.2,-80.59797303
52.3,-78.13425451
52.3,-76.37527408
52.3,-78.8389926
52.4,-78.74731935
52.4,-76.9940685
52.5,-78.31187143
52.5,-79.36611377
52.6,-77.52118967
52.6,-78.74731935
52.7,-77.34357275
52.7,-77.69307701
52.8,-79.18849685
52.8,-77.87069393
52.9,-79.10255319
52.9,-77.87069393
53.0,-76.46694733
53.0,-78.57543201
53.1,-78.48375877
53.1,-77.60713334
53.1,-78.48375877
53.2,-79.45205744
53.2,-76.46694733
53.3,-78.22019818
53.3,-78.3978151
53.4,-77.08001217
53.4,-76.63883467
53.5,-75.23508807
53.5,-71.98068779
53.6,-66.00473799
53.6,-59.06048951
53.7,-52.64909179
53.7,-45.44128273
53.8,-35.94737206
53.8,-21.62342719
53.8,0.349504255
53.9,26.18990081
53.9,52.47147487
54.0,72.15830471
54.0,92.81343322
54.1,111.795525
54.1,132.9777747
54.2,159.3452924
54.3,185.890427
54.3,210.0577868
54.3,230.0081772
54.4,241.7881895
54.4,265.1648676
54.5,275.7989642
54.5,293.7325432
54.6,302.9571637
54.6,309.9930854
54.7,317.0232776
54.7,327.0385798
54.8,336.2689299
54.8,343.476739
54.8,347.6077647
54.9,351.2116692
54.9,351.1257255
55.0,349.0115113
55.0,345.4076067
55.1,340.314012
55.1,334.0745016
55.2,324.0534697
55.2,318.0775199
55.3,311.0473278
55.3,306.5610682
55.4,301.731034
55.4,298.9178113
55.5,293.7325432
55.5,290.300526
55.6,285.9059397
55.6,283.4479508
55.6,280.1076068
55.7,280.8982886
55.7,283.3620071
55.8,282.5655958
55.8,280.634728
55.9,281.6030267
55.9,283.0984465
56.0,280.9842323
56.0,282.3020352
56.1,282.2160915
56.1,280.9842323
56.2,282.834886
56.2,282.0384746
56.3,280.8123449
56.3,282.3020352
56.4,281.6889704
56.4,280.634728
56.4,282.0384746
56.5,281.1618492
56.5,281.9525309
56.6,282.3937084
56.6,280.4571111
56.7,281.8665873
56.7,280.9842323
56.8,281.9525309
56.8,282.657269
56.9,280.634728
56.9,281.6030267
57.0,282.834886
57.0,281.2477929
57.0,282.3020352
57.1,283.4479508
57.1,281.3394661
57.2,280.8123449
57.3,283.2703339
57.3,282.0384746
57.3,282.0384746
57.4,282.4796521
57.4,280.7206717
57.5,282.1301479
57.5,282.5655958
57.6,280.8982886
57.6,282.0384746
57.7,281.0759055
57.7,281.3394661
57.8,282.4796521
57.8,280.1076068
57.9,281.8665873
57.9,282.3020352
57.9,280.8123449
58.0,282.3937084
58.0,283.6255677
58.1,281.5113534
58.1,281.1618492
58.2,281.2477929
58.2,281.4254098
58.3,281.5113534
58.3,281.6030267
58.4,281.0759055
58.4,283.0067733
58.5,281.2477929
58.5,281.3394661
58.6,282.3937084
58.6,280.7206717
58.6,282.3020352
58.7,282.1301479
58.7,280.9842323
58.8,281.774914
58.8,282.5655958
58.9,280.8123449
58.9,281.8665873
59.0,282.3937084
59.0,281.0759055
59.1,282.2160915
59.1,280.3711674
59.2,281.774914
59.2,282.0384746
59.3,281.0759055
59.3,282.0384746
59.4,281.2477929
59.4,280.9842323
59.5,282.834886
59.5,281.1618492
59.5,282.4796521
59.6,281.774914
59.6,280.9842323
59.7,282.1301479
59.7,281.2477929
59.8,282.657269
59.8,283.6255677
59.9,280.8123449
59.9,281.3394661
