header_update,time,theta
28:09.5,-71.54523987,30.75
28:09.6,-70.31338061,29.17
28:09.6,-68.90390443,29.17
28:09.7,-67.32254092,31.48
28:09.7,-65.83285065,31.65
28:09.8,-63.8962533,33.16
28:09.8,-61.43826436,30.15
28:09.8,-58.97454585,28.69
28:09.9,-55.98370615,31.8
28:10.0,-51.76673678,31.67
28:10.0,-48.16283225,30.79
28:10.0,-44.03180655,31.56
28:10.1,-38.405361,30.1
28:10.1,-31.20328152,30.75
28:10.2,-21.26819335,29.83
28:10.2,-4.92170746,28.55
28:10.3,11.86595594,12.04
28:10.3,37.52873558,12.04
28:10.4,59.41572335,-22.41
28:10.4,75.41270499,-29.29
28:10.5,95.09953482,-29.85
28:10.5,114.6946914,-28.99
28:10.5,133.1553916,-29.22
28:10.6,150.8196804,-28.58
28:10.6,169.5382116,-30.85
28:10.7,190.1933401,-28.44
28:10.7,212.1662715,-27.66
28:10.8,228.8679912,-31.09
28:10.8,243.9826179,-31.02
28:10.9,257.6934979,-32.52
28:10.9,271.8455554,-30.82
28:11.0,283.7115114,-30.82
28:11.0,293.5549263,-30.1
28:11.1,299.8803804,3.82
28:11.1,304.189023,24.29
28:11.2,308.4976656,28.91
28:11.2,313.4193731,32.5
28:11.3,319.3953229,29.64
28:11.3,326.7750193,30.94
28:11.3,336.3548736,29.87
28:11.4,351.4752298,31.02
28:11.4,364.1318675,27.19
28:11.5,394.1892334,-20.36
28:11.5,416.6033424,-28.06
28:11.6,434.9723693,-28.06
28:11.6,453.0778356,-30.77
28:11.7,470.0373863,-30.97
28:11.7,488.8475907,-31.72
28:11.8,506.9530571,-31.96
28:11.8,528.1353067,-31.8
28:11.9,545.536035,-31.72
28:11.9,562.7648759,-31.25
28:12.0,578.9337449,-33.31
28:12.0,592.9998587,-29.57
28:12.1,606.7107388,-31.56
28:12.1,617.3448354,-31.56
28:12.2,628.8555575,-30.45
28:12.2,638.5270851,-31.33
28:12.2,647.1386408,-17.51
28:12.3,650.5649284,15.8
28:12.3,649.7742466,15.8
28:12.4,645.4713336,30.83
28:12.4,640.7215135,30.94
28:12.5,637.1176089,21.31
28:12.5,636.8540484,-10.24
28:12.6,633.2501438,-26.71
28:12.6,625.3433263,-31.64
28:12.7,617.1672185,-33.31
28:12.7,608.6416065,-29.57
28:12.8,598.7981916,-30.53
28:12.8,586.4967878,-31.72
28:12.8,572.0811696,-31.17
28:12.9,557.0524867,-31.17
28:12.9,541.8461868,-30.72
28:13.0,527.344625,-33.35
28:13.0,513.2785111,-32.74
28:13.1,495.264718,-30.61
28:13.1,479.7948576,-32.74
28:13.2,462.9212505,-34.78
28:13.2,448.6832493,-32.42
28:13.3,436.1125553,-33.13
28:13.3,422.2240583,-31.57
28:13.4,408.341291,-32.79
28:13.4,390.0582077,-32.9
28:13.5,388.0356667,-32.51
28:13.5,349.5386325,-22.12
28:13.6,329.1527941,10.76
28:13.6,314.3819421,10.76
28:13.6,301.8169777,27.94
28:13.7,289.3379569,30.51
28:13.7,276.589646,31.48
28:13.8,264.6377464,7.61
28:13.8,262.8787659,-23.01
28:13.9,263.583504,-28.48
28:13.9,265.8696056,-31.34
28:14.0,267.4509692,-30.49
28:14.0,267.8004734,-29.65
28:14.1,267.8921467,-31.33
28:14.1,268.1557072,-30.94
28:14.2,268.064034,-30.1
